,aptDong,aptNm,buildYear,buyerGbn,cdealDay,cdealType,dealAmount,dealDay,dealMonth,dealYear,dealingGbn,estateAgentSggNm,excluUseAr,floor,jibun,landLeaseholdGbn,rgstDate,sggCd,slerGbn,umdNm
172,,달빛(라이프)2,1996,,,,33000,26,3,2022,중개거래,경기 고양덕양구,49.95,9,851,N,,41281,,화정동
173,,달빛마을3단지,1995,,,,57200,30,3,2022,중개거래,경기 고양덕양구,84.87,11,865,N,,41281,,화정동
174,,능곡풍림아이원2단지,2002,,,,70000,28,3,2022,중개거래,경기 고양덕양구,114.11,10,60,N,,41281,,토당동
175,,스카이팰리스,2017,,,,34500,7,3,2022,중개거래,경기 고양덕양구,70.71,14,610-6,N,,41281,,주교동
176,,삼송힐스테이트,2013,,,,81000,24,3,2022,중개거래,경기 고양덕양구,84.9,18,653,N,,41281,,신원동
177,,별빛마을9단지(기산),1995,,,,60000,30,3,2022,중개거래,경기 고양덕양구,84.93,12,948,N,,41281,,화정동
178,,달빛마을(경남),1995,,,,60000,22,3,2022,중개거래,경기 고양덕양구,84.9,13,858,N,,41281,,화정동
179,,푸른마을10단지,2009,,,,43200,23,3,2022,중개거래,경기 고양덕양구,84.7394,14,1121,N,,41281,,고양동
180,,한라비발디,2004,,,,66300,29,3,2022,중개거래,경기 고양덕양구,84.8753,13,298,N,,41281,,토당동
181,,샘터마을2,1996,,,,46000,28,3,2022,중개거래,경기 고양덕양구,59.93,14,983,N,,41281,,행신동
182,,햇빛주공23,1996,,22.05.19,O,41000,21,3,2022,중개거래,경기 고양덕양구,59.93,7,953,N,,41281,,행신동
183,,능곡현대홈타운2,2002,,,,66000,30,3,2022,중개거래,경기 고양덕양구,84.45,15,53-44,N,,41281,,토당동
184,,경원아인스타워,2022,,,,49700,30,3,2022,직거래,,71.76,13,584-3,N,,41281,,주교동
185,,고양삼송동일스위트파크뷰7(1차),2017,,22.04.29,O,75000,21,3,2022,중개거래,경기 고양덕양구,84.0785,6,595,N,,41281,,신원동
186,,햇빛마을주공20,1997,,,,38200,23,3,2022,중개거래,경기 고양덕양구 서울 광진구,49.96,11,934,N,,41281,,행신동
187,,도래울파크뷰,2013,,,,70000,24,3,2022,중개거래,경기 고양덕양구,74.96,16,1103,N,,41281,,도내동
188,,달빛마을(극동),1995,,,,59000,31,3,2022,중개거래,경기 고양덕양구,84.9,11,858,N,,41281,,화정동
189,,달빛마을(부영)2,1996,,,,42800,30,3,2022,중개거래,경기 고양덕양구,59.65,8,851,N,,41281,,화정동
190,,은빛마을(삼성)5,1995,,,,69000,18,3,2022,중개거래,경기 고양덕양구,99.9,12,870,N,,41281,,화정동
191,,옥빛마을12단지,1995,,,,64500,30,3,2022,중개거래,경기 고양덕양구,59.195,9,988,N,,41281,,화정동
192,,햇빛마을19,1998,,,,59500,21,3,2022,중개거래,경기 고양덕양구,84.98,11,903,N,,41281,,행신동
193,,허스(151),1987,,22.06.13,O,12000,19,3,2022,중개거래,경기 고양덕양구,57.96,5,151,N,,41281,,관산동
194,,별빛마을7단지,1995,,,,71500,31,3,2022,중개거래,경기 고양덕양구,85,15,953,N,,41281,,화정동
195,,달빛마을(부영)2,1996,,,,26100,18,3,2022,중개거래,경기 고양덕양구,50,1,851,N,,41281,,화정동
196,,샘터마을2,1996,,,,49400,25,3,2022,중개거래,경기 고양덕양구 서울 동작구,59.56,16,983,N,,41281,,행신동
197,,동원(580-11),1988,,,,23500,28,3,2022,중개거래,경기 고양덕양구,52.92,1,580-11,N,,41281,,주교동
198,,달빛마을(부영)2,1996,,,,31900,22,3,2022,중개거래,경기 고양덕양구,50,11,851,N,,41281,,화정동
199,,달빛(라이프)2,1996,,22.05.03,O,33000,26,3,2022,중개거래,경기 고양덕양구,49.95,9,851,N,,41281,,화정동
200,,샘터마을(화성),1997,,,,62500,21,3,2022,중개거래,경기 고양덕양구,101.8,13,973,N,,41281,,행신동
201,,달빛마을(부영)2,1996,,,,31500,29,3,2022,중개거래,경기 고양덕양구,50,5,851,N,,41281,,화정동
202,,옥빛마을(주공)15,1997,,,,45000,29,3,2022,중개거래,경기 고양덕양구,59.56,20,1127,N,,41281,,화정동
203,,무원마을(쌍용)5,1995,,,,76000,18,3,2022,중개거래,경기 고양덕양구,101.88,13,767,N,,41281,,행신동
204,,대동피렌체주상복합,2006,,,,36500,23,3,2022,중개거래,경기 고양덕양구,84.73,4,615,N,,41281,,주교동
205,,햇빛마을19,1998,,,,64300,31,3,2022,중개거래,경기 고양덕양구,84.94,14,903,N,,41281,,행신동
206,,푸른마을5단지,2007,,,,38500,28,3,2022,중개거래,경기 고양덕양구,84.8265,12,730,N,,41281,,고양동
