,aptNm,buildYear,dealAmount,dealDay,dealMonth,dealYear,dealingGbn,excluUseAr,floor,sggCd,umdNm,dealYearMonth
185,문촌마을11단지건영,1999,49000.0,28,1,2022,중개거래,59.88,13,41287,주엽동,20221
186,후곡마을(동양),1995,55000.0,25,1,2022,중개거래,84.965,1,41287,일산동,20221
188,후곡마을(주공),1995,50000.0,12,1,2022,중개거래,68.13,4,41287,일산동,20221
189,일산동원(23-55),1989,14400.0,15,1,2022,중개거래,41.22,3,41287,일산동,20221
190,문촌마을10단지동부,1996,51000.0,22,1,2022,중개거래,73.718,11,41287,주엽동,20221
191,문촌마을18단지대원,1995,95000.0,21,1,2022,중개거래,130.44,15,41287,주엽동,20221
192,탄현마을(건영4),1994,32000.0,24,1,2022,중개거래,68.61,11,41287,탄현동,20221
193,탄현마을(현대),1994,34000.0,28,1,2022,중개거래,68.04,16,41287,탄현동,20221
194,장성마을(3),1996,83500.0,15,1,2022,중개거래,101.82,8,41287,대화동,20221
195,덕이1동문,2001,32000.0,10,1,2022,중개거래,84.434,9,41287,덕이동,20221
196,동문,1996,37500.0,14,1,2022,중개거래,84.96,4,41287,일산동,20221
197,가좌마을1단지양우,2005,40500.0,26,1,2022,중개거래,84.6399,12,41287,가좌동,20221
198,가좌마을7단지꿈에그린,2010,77300.0,11,1,2022,중개거래,134.9985,15,41287,가좌동,20221
199,강선마을14단지두산,1994,50000.0,13,1,2022,중개거래,59.76,2,41287,주엽동,20221
200,후곡마을(건영15),1994,54500.0,15,1,2022,중개거래,58.83,14,41287,일산동,20221
201,탄현마을풍림,2000,35600.0,17,1,2022,직거래,59.859,14,41287,탄현동,20221
202,한화포레나킨텍스,2019,171000.0,15,1,2022,중개거래,93.5022,45,41287,대화동,20221
203,강선마을8단지럭키,1993,67400.0,18,1,2022,중개거래,84.99,10,41287,주엽동,20221
204,일산두산위브더제니스,2013,73000.0,26,1,2022,중개거래,94.444,4,41287,탄현동,20221
205,문촌마을8단지동아,1994,46500.0,15,1,2022,중개거래,59.92,14,41287,주엽동,20221
206,일산동문(3),1997,47000.0,21,1,2022,중개거래,84.96,13,41287,일산동,20221
207,문촌마을1단지우성,1994,66000.0,27,1,2022,중개거래,84.91,5,41287,주엽동,20221
208,일산삼성,2000,29500.0,19,1,2022,중개거래,59.958,18,41287,일산동,20221
209,일산에듀포레푸르지오,2018,50000.0,25,1,2022,중개거래,59.8354,9,41287,탄현동,20221
210,문촌마을14단지세경,1999,48000.0,10,1,2022,중개거래,49.68,5,41287,주엽동,20221
211,후곡마을(주공),1995,50000.0,12,1,2022,중개거래,68.13,11,41287,일산동,20221
212,가좌마을6단지벽산,2005,36000.0,15,1,2022,중개거래,59.906,8,41287,가좌동,20221
213,성저마을(풍림),1996,63000.0,24,1,2022,중개거래,83.7,14,41287,대화동,20221
214,가좌마을2단지대우,2005,43300.0,14,1,2022,중개거래,84.8972,17,41287,가좌동,20221
215,탄현마을(동성),1994,54800.0,18,1,2022,중개거래,122.2,8,41287,탄현동,20221
216,탄현마을(부영3),1995,28900.0,22,1,2022,중개거래,46.58,11,41287,탄현동,20221
217,문촌마을14단지세경,1999,48000.0,15,1,2022,중개거래,49.68,6,41287,주엽동,20221
218,일산에듀포레푸르지오,2018,62000.0,17,1,2022,중개거래,84.8717,10,41287,탄현동,20221
219,탄현마을(건영5),1995,38800.0,28,1,2022,중개거래,68.61,10,41287,탄현동,20221
220,"큰마을대림,현대아파트",2001,60000.0,7,1,2022,중개거래,163.43,14,41287,탄현동,20221
221,"큰마을대림,현대아파트",2001,33000.0,12,1,2022,중개거래,59.82,11,41287,탄현동,20221
223,"큰마을대림,현대아파트",2001,34500.0,22,1,2022,중개거래,59.94,11,41287,탄현동,20221
224,대화마을동문(3단지),2002,50000.0,25,1,2022,중개거래,84.454,13,41287,대화동,20221
225,강선마을3단지한신,1994,36000.0,24,1,2022,중개거래,52.567,8,41287,주엽동,20221
226,탄현마을(건영4),1994,31800.0,6,1,2022,중개거래,68.29,14,41287,탄현동,20221
227,일산메가씨티,2003,8600.0,13,1,2022,중개거래,29.925,4,41287,일산동,20221
228,문촌마을11단지건영,1999,61000.0,7,1,2022,중개거래,84.88,19,41287,주엽동,20221
229,하이파크시티일산아이파크5단지,2011,85000.0,26,1,2022,직거래,146.6068,14,41287,덕이동,20221
230,일산동양(955-2),2004,44500.0,8,1,2022,중개거래,59.938,18,41287,일산동,20221
231,일산메가씨티,2003,9000.0,3,1,2022,중개거래,29.925,7,41287,일산동,20221
232,문촌마을13단지대우,1995,53000.0,21,1,2022,중개거래,74.46,17,41287,주엽동,20221
234,문촌마을15단지부영,1993,39900.0,14,1,2022,중개거래,40.27,5,41287,주엽동,20221
235,철산,1989,18000.0,23,1,2022,중개거래,36.21,1,41287,덕이동,20221
236,가좌마을5단지벽산,2005,44000.0,13,1,2022,중개거래,84.997,13,41287,가좌동,20221
237,월드메르디앙일산주상복합,2005,21000.0,12,1,2022,중개거래,44.27,9,41287,일산동,20221
238,강선마을19단지우성,1994,91500.0,15,1,2022,중개거래,125.32,3,41287,주엽동,20221
239,탄현마을(부영3),1995,26800.0,8,1,2022,중개거래,46.58,13,41287,탄현동,20221
240,후곡마을(현대18),1994,40000.0,15,1,2022,중개거래,59.925,4,41287,일산동,20221
242,일산두산위브더제니스,2013,73000.0,5,1,2022,중개거래,95.5,48,41287,탄현동,20221
243,탄현마을(부영7),1995,25000.0,4,1,2022,중개거래,50.28,1,41287,탄현동,20221
244,탄현마을(부영7),1995,24800.0,15,1,2022,중개거래,50.28,1,41287,탄현동,20221
245,"문촌마을5단지(한일,쌍용)",1994,80000.0,15,1,2022,중개거래,152.2,4,41287,주엽동,20221
246,철산,1989,17500.0,16,1,2022,중개거래,36.21,3,41287,덕이동,20221
247,문촌마을1단지우성,1994,63000.0,12,1,2022,중개거래,84.91,15,41287,주엽동,20221
249,문촌마을9단지주공,1995,40500.0,12,1,2022,중개거래,42.75,1,41287,주엽동,20221
250,후곡마을(주공),1995,45500.0,7,1,2022,중개거래,59.31,18,41287,일산동,20221
251,일산두산위브더제니스,2013,62000.0,7,1,2022,중개거래,59.907,8,41287,탄현동,20221
252,후곡마을(청구),1994,75700.0,15,1,2022,중개거래,101.0,7,41287,일산동,20221
253,하이파크시티일산파밀리에2단지,2011,84000.0,4,1,2022,중개거래,146.51,5,41287,덕이동,20221
254,"큰마을대림,현대아파트",2001,45800.0,13,1,2022,중개거래,84.73,7,41287,탄현동,20221
255,일산2차현대홈타운,2002,74000.0,13,1,2022,중개거래,127.13,9,41287,일산동,20221
256,강선마을11단지태영,1994,25000.0,13,1,2022,중개거래,41.85,21,41287,주엽동,20221
257,산들마을3단지,2003,64500.0,7,1,2022,중개거래,116.707,11,41287,일산동,20221
258,일산임광진흥아파트,2009,47000.0,12,1,2022,중개거래,84.89,13,41287,탄현동,20221
259,"큰마을대림,현대아파트",2001,36600.0,4,1,2022,중개거래,59.82,14,41287,탄현동,20221
260,"큰마을대림,현대아파트",2001,47000.0,10,1,2022,중개거래,84.73,6,41287,탄현동,20221
261,후곡마을(주공),1995,50000.0,5,1,2022,직거래,68.13,5,41287,일산동,20221
262,탄현마을풍림,2000,35900.0,9,1,2022,중개거래,59.859,17,41287,탄현동,20221
263,일산두산위브더제니스,2013,84800.0,8,1,2022,중개거래,120.482,47,41287,탄현동,20221
264,강선마을13단지뉴서울,1995,22500.0,6,1,2022,직거래,40.32,6,41287,주엽동,20221
265,후곡마을(현대18),1994,50000.0,9,1,2022,중개거래,72.36,1,41287,일산동,20221
266,동산마을22단지호반베르디움,2012,85000.0,26,2,2022,중개거래,84.954,6,41281,동산동,20222
268,도래울파크뷰(PARKVIEW),2013,69000.0,23,2,2022,중개거래,74.97,9,41281,도내동,20222
269,도래울파크뷰(PARKVIEW),2013,68000.0,20,2,2022,중개거래,74.98,7,41281,도내동,20222
270,햇빛주공(18-2),1998,59000.0,26,2,2022,중개거래,84.79,6,41281,행신동,20222
271,한라비발디,2004,60000.0,17,2,2022,중개거래,84.8753,7,41281,토당동,20222
272,햇빛마을21단지,1997,75000.0,28,2,2022,중개거래,134.64,14,41281,행신동,20222
273,햇빛주공(18-2),1998,64800.0,28,2,2022,중개거래,84.79,12,41281,행신동,20222
274,햇빛주공(18-2),1998,53500.0,19,2,2022,중개거래,65.97,17,41281,행신동,20222
275,서정마을6단지,2009,87500.0,19,2,2022,중개거래,130.88,3,41281,행신동,20222
276,도래울센트럴파크(CentralPark),2013,60000.0,18,2,2022,중개거래,59.85,2,41281,도내동,20222
277,삼송리슈빌센트럴파크,2012,80000.0,26,2,2022,중개거래,84.9908,13,41281,원흥동,20222
278,동산마을22단지호반베르디움,2012,80000.0,24,2,2022,중개거래,84.954,3,41281,동산동,20222
279,소만마을1단지,1995,35900.0,26,2,2022,중개거래,45.48,14,41281,행신동,20222
280,샘터주공2,1996,38000.0,25,2,2022,중개거래,49.97,4,41281,행신동,20222
281,달빛(라이프)2,1996,34000.0,20,2,2022,중개거래,49.95,16,41281,화정동,20222
282,소만마을(동성),1994,46000.0,12,2,2022,중개거래,59.4,3,41281,행신동,20222
283,샘터주공2,1996,38000.0,17,2,2022,중개거래,49.96,13,41281,행신동,20222
284,샘터마을(효성),1997,63000.0,19,2,2022,중개거래,101.8,18,41281,행신동,20222
285,소만마을3단지(늘푸른아파트),1996,42700.0,16,2,2022,중개거래,51.03,14,41281,행신동,20222
286,능곡대림,1996,52000.0,19,2,2022,중개거래,59.892,15,41281,토당동,20222
287,고양동우방유쉘아파트,2007,30000.0,7,2,2022,직거래,84.93,15,41281,고양동,20222
288,대림2,1997,53500.0,21,2,2022,중개거래,59.4,7,41281,토당동,20222
289,장미아파트(나동),1991,37000.0,23,2,2022,중개거래,79.06,7,41281,행신동,20222
290,소만마을(성원)6,1995,50000.0,21,2,2022,중개거래,59.34,6,41281,행신동,20222
291,더퍼스트프라임,2014,37000.0,23,2,2022,중개거래,59.826,9,41281,관산동,20222
292,DMC호반베르디움더포레2단지,2019,82000.0,20,2,2022,중개거래,70.8787,20,41281,향동동,20222
293,삼윤,1991,32500.0,9,2,2022,중개거래,68.83,6,41281,토당동,20222
294,옥빛마을14단지,1995,40000.0,24,2,2022,중개거래,50.0,2,41281,화정동,20222
295,은빛마을11단지,1996,57000.0,28,2,2022,중개거래,60.0,11,41281,화정동,20222
